make,model,eng_size,cylender,co2
ACURA,ILX,2,4,196
ACURA,ILX,2.4,4,221
ACURA,ILX HYBRID,1.5,4,136
ACURA,TSX,2.4,4,212
ACURA,TSX,2.4,4,225
ACURA,TSX,3.5,6,239
AUDI,A4,2,4,202
AUDI,A4 QUATTRO,2,4,230
AUDI,A4 QUATTRO,2,4,214
AUDI,S4,3,6,262
AUDI,S4,3,6,285
BMW,320i,2,4,193
BMW,320i,2,4,200
BMW,320i xDRIVE,2,4,202
BMW,328d xDRIVE,2,4,181
BMW,328i,2,4,193
BMW,328i,2,4,200
BMW,328i xDRIVE,2,4,209
BMW,335i,3,6,221
BMW,335i,3,6,230
BMW,335i xDRIVE,3,6,228
BMW,335i xDRIVE,3,6,237
BMW,428i COUPE,2,4,193
BMW,428i COUPE,2,4,200
BMW,428i xDRIVE COUPE,2,4,209
BMW,435i COUPE,3,6,221
BMW,435i COUPE,3,6,230
BMW,435i xDRIVE COUPE,3,6,228
BMW,435i xDRIVE COUPE,3,6,237
BMW,640i xDRIVE GRAN COUPE,3,6,232
BMW,650i xDRIVE COUPE,4.4,8,281
BMW,650i xDRIVE GRAN COUPE,4.4,8,292
BMW,ACTIVEHYBRID 3,3,6,191
BMW,M6,4.4,8,338
BMW,M6,4.4,8,317
BMW,M6 GRAN COUPE,4.4,8,338
BMW,M6 GRAN COUPE,4.4,8,317
BUICK,VERANO,2,4,228
BUICK,VERANO,2,4,225
BUICK,VERANO,2.4,4,218
CADILLAC,ATS,2,4,221
CADILLAC,ATS,2,4,235
CADILLAC,ATS,2.5,4,207
CADILLAC,ATS,3.6,6,251
CADILLAC,ATS AWD,2,4,232
CADILLAC,ATS AWD,3.6,6,260
CHEVROLET,CAMARO,3.6,6,258
CHEVROLET,CAMARO,3.6,6,269
CHEVROLET,CAMARO 2LS,3.6,6,242
CHEVROLET,CAMARO SS,6.2,8,294
CHEVROLET,CAMARO SS,6.2,8,292
CHEVROLET,CAMARO ZL1,6.2,8,382
CHEVROLET,CAMARO ZL1,6.2,8,340
CHEVROLET,SONIC,1.4,4,184
CHEVROLET,SONIC,1.4,4,173
CHEVROLET,SONIC,1.8,4,191
CHEVROLET,SONIC,1.8,4,182
CHEVROLET,SONIC RS,1.4,4,191
CHEVROLET,SONIC RS,1.4,4,184
CHRYSLER,200 CONVERTIBLE,2.4,4,232
CHRYSLER,200 CONVERTIBLE,2.4,4,246
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,242
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,230
FORD,FIESTA ST,1.6,4,184
FORD,FOCUS,2,4,205
FORD,FOCUS FFV,2,4,177
FORD,FOCUS FFV,2,4,165
FORD,FOCUS FFV,2,4,179
FORD,FOCUS FFV,2,4,165
FORD,FOCUS FFV,2,4,184
FORD,FOCUS FFV,2,4,170
FORD,FOCUS SFE FFV,2,4,166
FORD,FOCUS SFE FFV,2,4,162
HONDA,CIVIC,1.8,4,161
HONDA,CIVIC,1.8,4,166
HONDA,CIVIC,1.8,4,175
HYUNDAI,ACCENT,1.6,4,177
HYUNDAI,ACCENT,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,184
HYUNDAI,VELOSTER TURBO,1.6,4,202
HYUNDAI,VELOSTER TURBO,1.6,4,196
INFINITI,Q50 HYBRID,3.5,6,172
INFINITI,Q50 HYBRID AWD,3.5,6,189
KIA,FORTE KOUP,1.6,4,216
KIA,FORTE KOUP,1.6,4,221
KIA,FORTE KOUP,2,4,193
KIA,FORTE KOUP,2,4,198
KIA,RIO,1.6,4,175
KIA,RIO,1.6,4,177
KIA,RIO ECO,1.6,4,175
LEXUS,CT 200h,1.8,4,129
LEXUS,IS 250,2.5,6,223
LEXUS,IS 250 AWD,2.5,6,239
LEXUS,IS 350,3.5,6,244
LEXUS,IS 350 AWD,3.5,6,253
MAZDA,MAZDA2,1.5,4,177
MAZDA,MAZDA2,1.5,4,170
MAZDA,MAZDA3 4-DOOR,2,4,159
MAZDA,MAZDA3 4-DOOR,2,4,161
MAZDA,MAZDA3 4-DOOR,2.5,4,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,168
MAZDA,MAZDA3 4-DOOR (SIL),2,4,161
MERCEDES-BENZ,C 250,1.8,4,216
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,6,242
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,6,224
MERCEDES-BENZ,C 350,3.5,6,242
MERCEDES-BENZ,C 350 4MATIC,3.5,6,239
MERCEDES-BENZ,C 63 AMG,6.2,8,347
MERCEDES-BENZ,CL 550 4MATIC,4.7,8,304
MERCEDES-BENZ,CL 63 AMG,5.5,8,308
MERCEDES-BENZ,CLA 250,2,4,179
MERCEDES-BENZ,CLA 45 AMG 4MATIC,2,4,212
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,264
MERCEDES-BENZ,CLS 63 AMG 4MATIC,5.5,8,301
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,5.5,8,301
MINI,COOPER COUNTRYMAN,1.6,4,200
MINI,COOPER COUNTRYMAN,1.6,4,179
MINI,COOPER PACEMAN,1.6,4,200
MINI,COOPER PACEMAN,1.6,4,179
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,207
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,196
MINI,COOPER S PACEMAN ALL4,1.6,4,207
MINI,COOPER S PACEMAN ALL4,1.6,4,196
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,196
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,196
MITSUBISHI,LANCER,2,4,189
MITSUBISHI,LANCER,2,4,191
MITSUBISHI,LANCER AWD,2.4,4,218
MITSUBISHI,LANCER EVOLUTION,2,4,288
MITSUBISHI,LANCER EVOLUTION,2,4,283
MITSUBISHI,LANCER RALLIART,2,4,267
MITSUBISHI,MIRAGE,1.2,3,138
MITSUBISHI,MIRAGE,1.2,3,147
NISSAN,VERSA,1.6,4,152
NISSAN,VERSA,1.6,4,177
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,393
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,12,393
SCION,tC,2.5,4,207
SCION,tC,2.5,4,207
SUBARU,IMPREZA AWD,2,4,179
SUBARU,IMPREZA AWD,2,4,196
SUBARU,IMPREZA AWD,2.5,4,258
SUBARU,IMPREZA AWD,2.5,4,288
TOYOTA,PRIUS c,1.5,4,108
TOYOTA,YARIS,1.5,4,168
TOYOTA,YARIS,1.5,4,163
VOLKSWAGEN,BEETLE,1.8,4,196
VOLKSWAGEN,BEETLE,1.8,4,200
VOLKSWAGEN,BEETLE,2,4,209
VOLKSWAGEN,BEETLE,2,4,216
VOLKSWAGEN,BEETLE,2.5,5,225
VOLKSWAGEN,BEETLE,2.5,5,221
VOLKSWAGEN,BEETLE TDI (modified),2,4,200
VOLKSWAGEN,BEETLE TDI (modified),2,4,208
VOLKSWAGEN,CC,2,4,223
VOLKSWAGEN,CC,2,4,225
VOLKSWAGEN,CC 4MOTION,3.6,6,283
VOLKSWAGEN,JETTA,1.8,4,189
VOLKSWAGEN,JETTA,1.8,4,189
VOLKSWAGEN,JETTA,2,4,216
VOLKSWAGEN,JETTA,2,4,207
VOLKSWAGEN,JETTA TDI (modified),2,4,198
VOLKSWAGEN,JETTA TDI (modified),2,4,196
VOLKSWAGEN,JETTA GLI,2,4,207
VOLKSWAGEN,JETTA GLI,2,4,212
VOLKSWAGEN,JETTA TURBO HYBRID,1.4,4,124
VOLVO,S60,2.5,5,223
VOLVO,S60 AWD,2.5,5,232
VOLVO,S60 AWD,3,6,264
ACURA,ILX,2,4,191
ACURA,ILX,2.4,4,214
ACURA,ILX HYBRID,1.5,4,140
ACURA,TLX,2.4,4,191
ACURA,TLX,3.5,6,212
ACURA,TLX SH-AWD,3.5,6,221
AUDI,A4,2,4,205
AUDI,A4 QUATTRO,2,4,221
AUDI,A4 QUATTRO,2,4,209
AUDI,Q3,2,4,237
AUDI,Q3 QUATTRO,2,4,237
AUDI,S4,3,6,253
AUDI,S4,3,6,269
BENTLEY,CONTINENTAL GT,4,8,307
BENTLEY,CONTINENTAL GT,6,12,354
BMW,320i SEDAN,2,4,193
BMW,320i SEDAN,2,4,207
BMW,320i xDRIVE SEDAN,2,4,200
BMW,328d xDRIVE SEDAN,2,4,181
BMW,328i SEDAN,2,4,193
